"['soldier Kirk Jordan', 'ranch owner Ivy', 'post-Civil War Texas', 'unrepentant ex-Confederate captain', 'Mexican emperor Maximilian', 'occupying Northern government', 'practically minded grandmother', 'Ku Klux Klan', 'Robert H. Barrat', 'much-loved ranch hand', 'United States', 'corrupt local administrator', 'new rail line', 'end Ivy', 'rough-and-tumble world', 'loyal Southerner', 'would-be lover', 'new war', 'Randolph Scott', 'crosses paths', 'Alan Sanford', 'Robert Cummings', 'occupying soldiers', 'Joan Bennett', 'Yankee money', 'army checkpoint', 'Raymond Hatton', 'new railhead', 'Cal Tuttle']","""Taming the West""",,,,,,,
"['Rex Bell', 'star Rex Bell', 'train safe passage', 'Buck Jones', 'Colonel Tim McCoy', 'infamous Coconut Grove', 'Raymond Hatton', 'Rough Riders', 'threesome discover', 'Rough Rider', 'renegade whites']","""Taming the West""",,,,,,,
"['Pat Garrett', 'comrade-turned-lawman Pat Garrett', 'Fort Sumner', 'Sam Peckinpah', 'cattle baron Chisum', 'Jason Robards Jr.', 'inspiring enigmatic Lincoln', 'Wild Bunch', 'requisition Garrett', 'Billy', 'familiar Western players', 'friend Pat', 'Kris Kristofferson', 'cattle rustlings', 'Faustian pact', 'James Coburn', 'legendary outlaw', 'Katy Jurado', 'New Mexico', 'Bob Dylan', 'corrupt capitalists', 'Rudolph Wurlitzer', 'home-video version', 'resident Alias', 'Slim Pickens', 'Barry Sullivan', 'media myth', 'final destiny', 'coffin maker']","""Haunted By the Past"""," ""Sheriffs and Outlaws"""," ""Taming the West""",,,,,
"['Judge Roy Bean', 'Hardin', 'actress Lily Langtry', 'Cole Hardin', 'Hardin feigns', 'low-key comic zeal', 'real horse thief', 'Civil War regalia', 'Miss Langtry', 'Law West', 'chief stooge', 'Walter Brennan', 'climactic shoot-out', 'Charles Halton', 'Paul Hurst']","""Miscarriage of Justice"""," ""Taming the West""",,,,,,
"['baseball-great Lou Gehrig', 'cowboy Smith Ballew', 'one-and-only screen appearance']","""Ranchers"""," ""Taming the West""",,,,,,
"['Col. Kirby Yorke', 'Rio Grande', 'John Ford', 'John Wayne', 'Claude Jarman Jr', 'Harry Carey Jr.', 'command Sgt. Major', 'Bellah story Mission', 'James Kevin McGuinness', 'long-anticipated reconcilation scene', 'peripheral plot complications', 'wife Kathleen', 'Troopers Tyree', 'Victor McLaglen', 'trooper Tyree', 'Cavalry Trilogy']","""Fathers and Sons"""," ""Taming the West""",,,,,,
"['real cattle rustlers', 'action-packed Republic Pictures', 'Smiley Burnette', 'Mack V. Wright', 'supposed upstanding head', 'Oklahoma Outlaws perform', 'Max Hoffman Jr.', 'terrific real-life storm', 'Gene Autry', 'Old Home Place', 'Jule Styne', 'Mexicali Rose', 'Apache Kid', 'Charles King', 'bright idea', 'pal manage', 'Raoul Kraushaar', 'Joe Stafford', 'Sol Meyer', 'Monte Blue', 'title tune', 'secret leader', 'Lone Pine', 'Al Clauser']","""Assumed Identities"""," ""Taming the West""",,,,,,
"['cowboy Gene Autry', 'pony riders', 'banker Clyde Vesey', 'theatrical starring feature', 'immensely satisfying ride', 'new stagecoach line', 'personable western hero', 'Pony Express', 'Howard Wright', 'mail riders', 'Dick Jones', 'mail franchise', 'Range Rider', 'best film', 'mail service', 'TV shows', 'Buffalo Bill Jr']","""Heroic Mission"""," ""Righting the Wronged"""," ""Taming the West""",,,,,
"['William S. Hart', 'faithful cohort Clifford', 'stars John Gilbert', 'toughest towns', 'second-unit assistance']","""Taming the West""",,,,,,,
"['adult Davy Brandon', 'childhood sweetheart Miriam', 'boy Davy', 'North American continent', 'Davy gains', 'President Abraham Lincoln', 'Peter Jesson', 'major successes', 'Madge Bellamy', 'David Brandon', 'John Ford', 'outdoor films', 'railroad surveyor', 'father die', 'right-hand man', 'transcontinental railroad', 'Fred Kohler', 'Old West', 'Thomas Marsh', 'R. Walling', 'Winston Miller', 'Promontory Point', 'James Gordon', 'official mandate', 'white savage', 'Cyril Chadwick', 'clear trail', 'Rocky Mountains', ""George O'Brien"", 'fateful night']","""Success is the Best Revenge"""," ""Taming the West""",,,,,,
